split,budget,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,budget_250,fc345dac2205deb169bd70197f07f053bada80b61ffa69fdfb490758323ead69,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fc345dac2205deb169bd70197f07f053bada80b61ffa69fdfb490758323ead69/images/fc345dac2205deb169bd70197f07f053bada80b61ffa69fdfb490758323ead69.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,14.294,10,10,10,0,0,1.0,1.0,1.0,0.8629556543006043,0.9237888012009965,0,0
val,budget_250,fc5452f612a0f972fe55cc677055ede662af6723b5c1615ad539b8a4bd279bdb,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fc5452f612a0f972fe55cc677055ede662af6723b5c1615ad539b8a4bd279bdb/images/fc5452f612a0f972fe55cc677055ede662af6723b5c1615ad539b8a4bd279bdb.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,15.612,32,37,27,10,5,0.7297297297297297,0.84375,0.7826086956521738,0.7300560165638145,0.8402573708020012,5,5
val,budget_250,fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf/images/fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,19.229,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.8377726431327395,0.9100676095350009,1,1
val,budget_250,fd8065bcb1afdbed19e028465d5d00cd2ecadc4558de05c6fa28bea3c817aa22,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fd8065bcb1afdbed19e028465d5d00cd2ecadc4558de05c6fa28bea3c817aa22/images/fd8065bcb1afdbed19e028465d5d00cd2ecadc4558de05c6fa28bea3c817aa22.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,19.144,52,62,45,17,7,0.7258064516129032,0.8653846153846154,0.7894736842105263,0.7514726993934666,0.8555132720347217,10,10
val,budget_250,fdda64c47361b0d1a146e5b7b48dc6b7de615ea80b31f01227a3b16469589528,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fdda64c47361b0d1a146e5b7b48dc6b7de615ea80b31f01227a3b16469589528/images/fdda64c47361b0d1a146e5b7b48dc6b7de615ea80b31f01227a3b16469589528.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,16.343,30,33,26,7,4,0.7878787878787878,0.8666666666666667,0.8253968253968254,0.7354154962355506,0.8440759564350719,3,3
val,budget_250,fe80a2cf3c93dafad8c364fdd1646b0ba4db056cdb7bdb81474f957064812bba,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fe80a2cf3c93dafad8c364fdd1646b0ba4db056cdb7bdb81474f957064812bba/images/fe80a2cf3c93dafad8c364fdd1646b0ba4db056cdb7bdb81474f957064812bba.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,20.324,11,13,11,2,0,0.8461538461538461,1.0,0.9166666666666666,0.8882137272450492,0.9400733250475671,2,2
val,budget_250,fec226e45f49ab81ab71e0eaa1248ba09b56a328338dce93a43f4044eababed5,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/fec226e45f49ab81ab71e0eaa1248ba09b56a328338dce93a43f4044eababed5/images/fec226e45f49ab81ab71e0eaa1248ba09b56a328338dce93a43f4044eababed5.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,18.479,13,13,13,0,0,1.0,1.0,1.0,0.855574147153989,0.9193630948365386,0,0
val,budget_250,feffce59a1a3eb0a6a05992bb7423c39c7d52865846da36d89e2a72c379e5398,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/feffce59a1a3eb0a6a05992bb7423c39c7d52865846da36d89e2a72c379e5398/images/feffce59a1a3eb0a6a05992bb7423c39c7d52865846da36d89e2a72c379e5398.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,17.681,38,45,31,14,7,0.6888888888888889,0.8157894736842105,0.746987951807229,0.7632342979144453,0.8630482315597159,7,7
val,budget_250,ff3407842ada5bc18be79ae453e5bdaa1b68afc842fc22fa618ac6e6599d0bb3,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ff3407842ada5bc18be79ae453e5bdaa1b68afc842fc22fa618ac6e6599d0bb3/images/ff3407842ada5bc18be79ae453e5bdaa1b68afc842fc22fa618ac6e6599d0bb3.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,23.589,19,18,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.8961750928897233,0.9446782080598225,-1,1
val,budget_250,ff3e512b5fb860e5855d0c05b6cf5a6bcc7792e4be1f0bdab5a00af0e18435c0,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ff3e512b5fb860e5855d0c05b6cf5a6bcc7792e4be1f0bdab5a00af0e18435c0/images/ff3e512b5fb860e5855d0c05b6cf5a6bcc7792e4be1f0bdab5a00af0e18435c0.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,18.518,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8253206621241864,0.9034465935529633,0,0
val,budget_250,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48/images/ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48.png,results/supervised/yolo_label_budget_diagnostic_train_runs/budget_250/weights/best.pt,0.5,0.25,512,17.972,24,24,23,1,1,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9191549922453889,0.9575197631247142,0,0
