split,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e/images/d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e.png,results/supervised/yolo_tiny_train_smoke_run/weights/best.pt,0.5,0.001,256,1181.098,22,13,0,13,22,0.0,0.0,0.0,0.0,0.0,-9,9
val,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2/images/e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.png,results/supervised/yolo_tiny_train_smoke_run/weights/best.pt,0.5,0.001,256,94.695,130,9,0,9,130,0.0,0.0,0.0,0.0,0.0,-121,121
val,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81/images/f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81.png,results/supervised/yolo_tiny_train_smoke_run/weights/best.pt,0.5,0.001,256,93.629,199,16,0,16,199,0.0,0.0,0.0,0.0,0.0,-183,183
val,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48/images/ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48.png,results/supervised/yolo_tiny_train_smoke_run/weights/best.pt,0.5,0.001,256,26.012,24,18,0,18,24,0.0,0.0,0.0,0.0,0.0,-6,6
