split,image_id,source_image_path,checkpoint,iou_threshold,conf,imgsz,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
val,dad607a203483439fcbc2acecd0a39fb5e5a94a32a94348f5c802c79cfeb6e7c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/dad607a203483439fcbc2acecd0a39fb5e5a94a32a94348f5c802c79cfeb6e7c/images/dad607a203483439fcbc2acecd0a39fb5e5a94a32a94348f5c802c79cfeb6e7c.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,17.96,50,52,49,3,1,0.9423076923076923,0.98,0.9607843137254902,0.8474643782388456,0.9164745492717516,2,2
val,dae976f161fe42dc58dee87d4bf2eb9f65736597cab0114138641b2a39a5c42b,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/dae976f161fe42dc58dee87d4bf2eb9f65736597cab0114138641b2a39a5c42b/images/dae976f161fe42dc58dee87d4bf2eb9f65736597cab0114138641b2a39a5c42b.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,16.931,31,30,24,6,7,0.8,0.7741935483870968,0.7868852459016393,0.7859057867588523,0.8761698892383322,-1,1
val,db45946a4412a2137674ec075b6892ccd682b77826aba618210569bbc65cf2b0,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/db45946a4412a2137674ec075b6892ccd682b77826aba618210569bbc65cf2b0/images/db45946a4412a2137674ec075b6892ccd682b77826aba618210569bbc65cf2b0.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,22.015,21,23,21,2,0,0.9130434782608695,1.0,0.9545454545454545,0.8631749977660826,0.9255673229617442,2,2
val,dbbfe08a52688d0ac8de9161cbb17cb201e3991aacab8ab8a77fe0e203a69481,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/dbbfe08a52688d0ac8de9161cbb17cb201e3991aacab8ab8a77fe0e203a69481/images/dbbfe08a52688d0ac8de9161cbb17cb201e3991aacab8ab8a77fe0e203a69481.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,22.03,38,47,26,21,12,0.5531914893617021,0.6842105263157895,0.611764705882353,0.6497531807757393,0.7834166646520541,9,9
val,dbe5ad05b6f87018159a3228c1d1725892a1bfb9fa9f8fcc2e8bfe70d69d0355,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/dbe5ad05b6f87018159a3228c1d1725892a1bfb9fa9f8fcc2e8bfe70d69d0355/images/dbe5ad05b6f87018159a3228c1d1725892a1bfb9fa9f8fcc2e8bfe70d69d0355.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,17.204,17,18,16,2,1,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9199398965144534,0.9581730893060856,1,1
val,dd54adb80393de7769b9853c0aa2ee9b240905d0e99c59d4ccd99401f327aa05,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/dd54adb80393de7769b9853c0aa2ee9b240905d0e99c59d4ccd99401f327aa05/images/dd54adb80393de7769b9853c0aa2ee9b240905d0e99c59d4ccd99401f327aa05.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,40.757,141,141,133,8,8,0.9432624113475178,0.9432624113475178,0.9432624113475178,0.8378937730568102,0.909984013522093,0,0
val,ddf1bf458312de2895dd9cc5ce7ec9d334ad54c35edc96ad6001d20b1d8588d8,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/ddf1bf458312de2895dd9cc5ce7ec9d334ad54c35edc96ad6001d20b1d8588d8/images/ddf1bf458312de2895dd9cc5ce7ec9d334ad54c35edc96ad6001d20b1d8588d8.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,16.915,30,32,21,11,9,0.65625,0.7,0.6774193548387096,0.7209165929657149,0.8335980820005818,2,2
val,dec1764c00e8b3c4bf1fc7a2fda341279218ff894186b0c2664128348683c757,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/dec1764c00e8b3c4bf1fc7a2fda341279218ff894186b0c2664128348683c757/images/dec1764c00e8b3c4bf1fc7a2fda341279218ff894186b0c2664128348683c757.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,17.273,21,20,16,4,5,0.8,0.7619047619047619,0.7804878048780488,0.9049543912264346,0.9479533023585243,-1,1
val,df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1/images/df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,18.721,47,56,40,16,7,0.7142857142857143,0.851063829787234,0.7766990291262136,0.7759354382373158,0.870051190159263,9,9
val,df53d0b6c2c4e45d759b2c474011e2b2b32552cd100ca4b22388ab9ca1750ee2,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/df53d0b6c2c4e45d759b2c474011e2b2b32552cd100ca4b22388ab9ca1750ee2/images/df53d0b6c2c4e45d759b2c474011e2b2b32552cd100ca4b22388ab9ca1750ee2.png,results/supervised/yolo_fixed_budget_train_run/weights/best.pt,0.5,0.25,512,22.188,80,78,63,15,17,0.8076923076923077,0.7875,0.7974683544303798,0.8017287424239603,0.8872280641047883,-2,2
