image_id,method,config_id,iou_threshold,gpu,latency_ms,input_mode,normalize,invert,diameter,flow_threshold,cellprob_threshold,min_size,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd,cellpose_cpsam,rgb_baseline,0.5,True,779.394,rgb,True,False,,0.4,0.0,15,26,25,23,2,3,0.92,0.8846153846153846,0.9019607843137256,0.8793740072248017,0.9324851966418161,-1,1
ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,cellpose_cpsam,rgb_baseline,0.5,True,749.161,rgb,True,False,,0.4,0.0,15,84,67,62,5,22,0.9253731343283582,0.7380952380952381,0.8211920529801325,0.7618829768150382,0.8609081738508256,-17,17
b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,cellpose_cpsam,rgb_baseline,0.5,True,737.831,rgb,True,False,,0.4,0.0,15,9,7,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.8236695592986114,0.8972107648668353,-2,2
c6216cdc42f61bc345434986db42e2ef9b9741aee3210b7a808e952e319d2305,cellpose_cpsam,rgb_baseline,0.5,True,703.238,rgb,True,False,,0.4,0.0,15,32,30,28,2,4,0.9333333333333333,0.875,0.9032258064516129,0.7725850845000692,0.8692379215523454,-2,2
d7d12a2acc47a94961aeb56fd56e8a0873016af75f5dd10915de9db8af8e4f5e,cellpose_cpsam,rgb_baseline,0.5,True,753.228,rgb,True,False,,0.4,0.0,15,22,20,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.8439993087340524,0.9098292778765161,-2,2
e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,cellpose_cpsam,rgb_baseline,0.5,True,2058.737,rgb,True,False,,0.4,0.0,15,130,133,129,4,1,0.9699248120300752,0.9923076923076923,0.9809885931558935,0.9236446103654711,0.9592265843239006,3,3
f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,cellpose_cpsam,rgb_baseline,0.5,True,3306.757,rgb,True,False,,0.4,0.0,15,199,169,157,12,42,0.9289940828402367,0.7889447236180904,0.8532608695652174,0.7469638388185162,0.8518628813797368,-30,30
ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,cellpose_cpsam,rgb_baseline,0.5,True,751.006,rgb,True,False,,0.4,0.0,15,24,24,24,0,0,1.0,1.0,1.0,0.9373298374250029,0.9667803785063406,0,0
220b37f4ca7cab486d2b71cd87a46ee7411a5aa142799d96ed98015ab5ba538a,cellpose_cpsam,gray_mean,0.5,True,682.903,gray_mean,True,False,,0.4,0.0,15,1,1,1,0,0,1.0,1.0,1.0,0.7796610169491526,0.8761904761904762,0,0
7b38c9173ebe69b4c6ba7e703c0c27f39305d9b2910f46405993d2ea7a963b80,cellpose_cpsam,gray_mean,0.5,True,766.894,gray_mean,True,False,,0.4,0.0,15,1,98,0,98,1,0.0,0.0,0.0,0.0,0.0,97,97
84eeec681987753029eb83ea5f3ff7e8b5697783cdb2035f2882d40c9a3f1029,cellpose_cpsam,gray_mean,0.5,True,690.297,gray_mean,True,False,,0.4,0.0,15,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0
93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77,cellpose_cpsam,gray_mean,0.5,True,664.523,gray_mean,True,False,,0.4,0.0,15,1,1,1,0,0,1.0,1.0,1.0,0.5454545454545454,0.7058823529411765,0,0
e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd,cellpose_cpsam,gray_mean,0.5,True,677.86,gray_mean,True,False,,0.4,0.0,15,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,-2,2
d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0,cellpose_cpsam,gray_mean,0.5,True,682.389,gray_mean,True,False,,0.4,0.0,15,17,8,5,3,12,0.625,0.29411764705882354,0.4,0.8959367018222218,0.9446476243827417,-9,9
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,cellpose_cpsam,gray_mean,0.5,True,742.824,gray_mean,True,False,,0.4,0.0,15,86,58,37,21,49,0.6379310344827587,0.43023255813953487,0.5138888888888888,0.7347048498868315,0.8404764015108855,-28,28
947c0d94c8213ac7aaa41c4efc95d854246550298259cf1bb489654d0e969050,cellpose_cpsam,gray_mean,0.5,True,720.88,gray_mean,True,False,,0.4,0.0,15,64,49,25,24,39,0.5102040816326531,0.390625,0.4424778761061947,0.7729009691507744,0.866363784654598,-15,15
