split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,5.777,28,28,23,5,5,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8585840914122187,0.9196813691689346,0,0
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,cellpose_cpsam,Cellpose-SAM,gaussian_blur,{'sigma': 1.5},0.5,462.174,28,25,25,0,3,1.0,0.8928571428571429,0.9433962264150945,0.9061405925983219,0.9491919119712763,-3,3
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,gaussian_blur,{'sigma': 1.5},0.5,1431.431,28,1,0,1,28,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,6.362,28,26,25,1,3,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.8679945119872657,0.9257725603029526,-2,2
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,cellpose_cpsam,Cellpose-SAM,downsample_upsample,{'scale': 0.5},0.5,451.558,28,25,25,0,3,1.0,0.8928571428571429,0.9433962264150945,0.9152034719034593,0.9544451769217099,-3,3
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,downsample_upsample,{'scale': 0.5},0.5,1416.917,28,1,0,1,28,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,6.037,28,27,24,3,4,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.9014175940338074,0.9450226973203725,-1,1
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,cellpose_cpsam,Cellpose-SAM,contrast_inversion,{},0.5,448.665,28,25,25,0,3,1.0,0.8928571428571429,0.9433962264150945,0.9273687386591806,0.9612881423063577,-3,3
stage1_train_clean20_subset,0c6507d493bf79b2ba248c5cca3d14df8b67328b89efa5f4a32f97a06a88c92c,sam2_amg,SAM2 AMG,contrast_inversion,{},0.5,1472.698,28,1,0,1,28,0.0,0.0,0.0,0.0,0.0,-27,27
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,otsu_watershed,Otsu + watershed,clean,{},0.5,41.987,76,181,42,139,34,0.23204419889502761,0.5526315789473685,0.32684824902723736,0.7868195351230858,0.8733129288288237,105,105
stage1_train_clean20_subset,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,cellpose_cpsam,Cellpose-SAM,clean,{},0.5,1374.876,76,82,74,8,2,0.9024390243902439,0.9736842105263158,0.9367088607594938,0.9087304181219706,0.9512012732397673,6,6
