split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_full,43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6,otsu_watershed,Otsu + watershed,clean,{},0.5,37.403,23,49,19,30,4,0.3877551020408163,0.8260869565217391,0.5277777777777779,0.7938541310925714,0.8738581634888568,26,26
stage1_train_full,43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,34.427,23,65,11,54,12,0.1692307692307692,0.4782608695652174,0.25,0.7574123925142523,0.8522520306489696,42,42
stage1_train_full,43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,35.229,23,53,16,37,7,0.3018867924528302,0.6956521739130435,0.4210526315789474,0.7879898277520948,0.8688170775633204,30,30
stage1_train_full,43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,34.486,23,47,17,30,6,0.3617021276595745,0.7391304347826086,0.4857142857142858,0.841643944145462,0.9032698190562548,24,24
stage1_train_full,43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,33.791,23,49,18,31,5,0.3673469387755102,0.782608695652174,0.5,0.808273021283437,0.8819365757100183,26,26
stage1_train_full,442c4eb0185698fe7d148c108a46f74abd399aecda2f4f22981a1671cd95dd7d,otsu_watershed,Otsu + watershed,clean,{},0.5,8.333,16,50,9,41,7,0.18,0.5625,0.2727272727272727,0.7783713098582384,0.8686910230469286,34,34
stage1_train_full,442c4eb0185698fe7d148c108a46f74abd399aecda2f4f22981a1671cd95dd7d,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,8.826,16,50,11,39,5,0.22,0.6875,0.3333333333333333,0.6664483277976884,0.7954432807042412,34,34
stage1_train_full,442c4eb0185698fe7d148c108a46f74abd399aecda2f4f22981a1671cd95dd7d,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,8.156,16,45,11,34,5,0.2444444444444444,0.6875,0.360655737704918,0.7075915911638653,0.8202305834913272,29,29
stage1_train_full,442c4eb0185698fe7d148c108a46f74abd399aecda2f4f22981a1671cd95dd7d,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,8.468,16,45,10,35,6,0.2222222222222222,0.625,0.3278688524590164,0.7394417123268424,0.8429787022013271,29,29
stage1_train_full,442c4eb0185698fe7d148c108a46f74abd399aecda2f4f22981a1671cd95dd7d,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,8.152,16,50,9,41,7,0.18,0.5625,0.2727272727272727,0.7741368777374471,0.8664056253701511,34,34
stage1_train_full,449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51,otsu_watershed,Otsu + watershed,clean,{},0.5,55.684,58,125,23,102,35,0.184,0.396551724137931,0.2513661202185792,0.7661276091985091,0.8558030138673977,67,67
stage1_train_full,449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,40.92,58,133,21,112,37,0.1578947368421052,0.3620689655172414,0.2198952879581152,0.7417379544123953,0.8452663886696308,75,75
stage1_train_full,449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,38.651,58,103,30,73,28,0.2912621359223301,0.5172413793103449,0.3726708074534161,0.7648210118178221,0.8556973677660925,45,45
