split,image_id,method,method_label,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,cellpose_cpsam,Cellpose-SAM,gaussian_blur,{'sigma': 1.5},0.5,678.023,32,30,30,0,2,1.0,0.9375,0.967741935483871,0.8135197491374974,0.8936976559006929,-2,2
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,sam2_amg,SAM2 AMG,gaussian_blur,{'sigma': 1.5},0.5,1972.496,32,1,0,1,32,0.0,0.0,0.0,0.0,0.0,-31,31
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,12.88,32,34,26,8,6,0.7647058823529411,0.8125,0.787878787878788,0.6907384935523553,0.815493413413127,2,2
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,cellpose_cpsam,Cellpose-SAM,downsample_upsample,{'scale': 0.5},0.5,643.549,32,30,30,0,2,1.0,0.9375,0.967741935483871,0.8154970661725147,0.8943062978288572,-2,2
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,sam2_amg,SAM2 AMG,downsample_upsample,{'scale': 0.5},0.5,2011.47,32,1,0,1,32,0.0,0.0,0.0,0.0,0.0,-31,31
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,Otsu + watershed,contrast_inversion,{},0.5,12.356,32,36,26,10,6,0.7222222222222222,0.8125,0.7647058823529411,0.6570122109321783,0.7917878799091961,4,4
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,cellpose_cpsam,Cellpose-SAM,contrast_inversion,{},0.5,674.135,32,30,30,0,2,1.0,0.9375,0.967741935483871,0.8115241206076184,0.8903940219490293,-2,2
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,sam2_amg,SAM2 AMG,contrast_inversion,{},0.5,2452.266,32,13,0,13,32,0.0,0.0,0.0,0.0,0.0,-19,19
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,Otsu + watershed,clean,{},0.5,11.027,18,20,18,2,0,0.9,1.0,0.9473684210526316,0.8573785107966337,0.9181889259143351,2,2
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,cellpose_cpsam,Cellpose-SAM,clean,{},0.5,645.828,18,19,18,1,0,0.9473684210526315,1.0,0.972972972972973,0.8122575612763936,0.8922858009378805,1,1
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,sam2_amg,SAM2 AMG,clean,{},0.5,2150.665,18,1,0,1,18,0.0,0.0,0.0,0.0,0.0,-17,17
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,Otsu + watershed,gaussian_noise,{'sigma': 0.08},0.5,11.494,18,24,14,10,4,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7995947119607291,0.8846241607145745,6,6
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,cellpose_cpsam,Cellpose-SAM,gaussian_noise,{'sigma': 0.08},0.5,647.277,18,17,16,1,2,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.8469770122982004,0.9154561152464493,-1,1
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,sam2_amg,SAM2 AMG,gaussian_noise,{'sigma': 0.08},0.5,2347.681,18,1,0,1,18,0.0,0.0,0.0,0.0,0.0,-17,17
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,Otsu + watershed,gaussian_blur,{'sigma': 1.5},0.5,11.064,18,20,15,5,3,0.75,0.8333333333333334,0.7894736842105262,0.888564908825194,0.9389637328487537,2,2
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,cellpose_cpsam,Cellpose-SAM,gaussian_blur,{'sigma': 1.5},0.5,652.292,18,17,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.875239242736838,0.9322216629430367,-1,1
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,sam2_amg,SAM2 AMG,gaussian_blur,{'sigma': 1.5},0.5,2450.079,18,1,0,1,18,0.0,0.0,0.0,0.0,0.0,-17,17
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,Otsu + watershed,downsample_upsample,{'scale': 0.5},0.5,10.839,18,21,16,5,2,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.8676641163875136,0.92495072299358,3,3
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,cellpose_cpsam,Cellpose-SAM,downsample_upsample,{'scale': 0.5},0.5,638.325,18,17,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.8773831366500113,0.9328420145932694,-1,1
