split,image_id,method,method_label,perturbation,clean_object_f1,object_f1,absolute_object_f1_drop,relative_object_f1_drop,clean_precision,precision,precision_drop,clean_recall,recall,recall_drop,clean_absolute_count_error,absolute_count_error,absolute_count_error_delta,true_instances,pred_instances,false_positives,false_negatives
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,clean,0.8,0.8,0.0,0.0,0.7368,0.7368,0.0,0.875,0.875,0.0,3,3,0,16,19,5,2
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,gaussian_noise,0.8,0.875,-0.075,-0.0938,0.7368,0.875,-0.1382,0.875,0.875,0.0,3,0,-3,16,16,2,2
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,poisson_noise,0.8,0.6667,0.1333,0.1667,0.7368,0.6,0.1368,0.875,0.75,0.125,3,4,1,16,20,8,4
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,gaussian_blur,0.8,0.8333,-0.0333,-0.0417,0.7368,0.75,-0.0132,0.875,0.9375,-0.0625,3,4,1,16,20,5,1
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,downsample_upsample,0.8,0.9091,-0.1091,-0.1364,0.7368,0.8824,-0.1455,0.875,0.9375,-0.0625,3,1,-2,16,17,2,1
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,intensity_scale,0.8,0.8,0.0,0.0,0.7368,0.7368,0.0,0.875,0.875,0.0,3,3,0,16,19,5,2
stage1_train_clean20_subset,2817299fd3b88670e86a9db5651ba24333c299d1d41e5491aabfcd95aee84174,otsu_watershed,Otsu + watershed,contrast_inversion,0.8,0.8,0.0,0.0,0.7368,0.7368,0.0,0.875,0.875,0.0,3,3,0,16,19,5,2
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,clean,0.381,0.381,0.0,0.0,0.3,0.3,0.0,0.5217,0.5217,0.0,17,17,0,23,40,28,11
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,gaussian_noise,0.381,0.1928,0.1882,0.494,0.3,0.1333,0.1667,0.5217,0.3478,0.1739,17,37,20,23,60,52,15
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,poisson_noise,0.381,0.1684,0.2125,0.5579,0.3,0.1111,0.1889,0.5217,0.3478,0.1739,17,49,32,23,72,64,15
stage1_train_clean20_subset,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,otsu_watershed,Otsu + watershed,gaussian_blur,0.381,0.2703,0.1107,0.2905,0.3,0.1961,0.1039,0.5217,0.4348,0.087,17,28,11,23,51,41,13
