perturbation,images,mean_object_f1,mean_matched_iou,mean_absolute_count_error,mean_latency_ms,absolute_object_f1_drop,relative_object_f1_drop
clean,5,0.6311,0.7575,33.0,20.955,0.0,0.0
gaussian_noise,5,0.4156,0.7033,46.8,18.878,0.2155,0.3415
gaussian_blur,5,0.6257,0.7808,32.6,16.3632,0.0054,0.0086
downsample_upsample,5,0.6201,0.7735,30.4,17.4024,0.011,0.0174
contrast_inversion,5,0.6282,0.7631,30.2,16.7544,0.0029,0.0046
